STATE,COUNTY,POID,CROPCODE,AICODE1,AIAMT1,AICODE2,AIAMT2
3,23,4001,6,9502,1.5,804208,0.2
3,23,4001,6,9502,1.5,804208,0.2
3,23,4001,6,7401,3.5,,
3,23,4001,6,24002,5.2,,
3,23,4001,6,97801,2.8,,
3,23,4001,6,61501,2.5,,
3,23,4001,6,61501,2.5,,
3,23,4001,6,61501,3.2,,
3,23,5001,6,9502,2,804208,0.2
3,23,5001,6,7401,3,,
3,23,5001,6,24002,4,,
3,23,5001,6,24002,4,,
3,27,6001,6,97801,3,,
3,27,6001,6,97801,3,,
3,27,6001,6,61501,5,,
3,27,6001,6,61501,5,,
4,50,7001,6,9502,1.5,804208,0.2
4,50,7001,6,9502,1.5,804208,0.2
4,50,7001,6,7401,3.5,,
4,50,7001,6,24002,5.2,,
4,50,7001,6,9502,1.5,804208,0.2
4,50,7001,6,9502,1.5,804208,0.2
4,50,7001,900,97801,2.8,,
4,50,7001,900,61501,2.5,,
4,50,7001,900,61501,2.5,,
4,50,7001,900,61501,3.2,,
4,50,7001,900,97801,2.8,,
4,70,8001,900,97801,2.8,,
4,70,8001,900,61501,2.5,,
4,70,8001,900,61501,2.5,,
4,70,8001,900,61501,3.2,,
4,70,8001,900,97801,2.8,,
4,70,8001,900,97801,2.8,,
4,70,8001,900,97801,2.8,,
4,70,8001,900,97801,2.8,,
